FromCountry,Site_SAP_From,Import_Cofill,Site_Name
NL,15N    ,Import,DONGEN
BE,19B    ,Import,GENT
FR,44F    ,Import,DUNKIRK
GB,5501,GB,SIDCUP
GB,5502,GB,WAKEFIELD
GB,5503,GB,EAST KILBRIDE
GB,5506,GB,EDMONTON
GB,5546,GB,MORPETH
GB,5556,3PL STORAGE,ESL DAGENHAM
GB,5558,3PL STORAGE,ITPL WAKEFIELD
GB,5559,Repack,ESL VOLTAIC
GB,5560,Repack,SHERBURN
GB,5569,Repack,ITPL BARNSLEY
IE,AILI_IE,Cofill,AIL
GB,APPL_GB,Cofill,APPLETISER
GB,AS&D_RP,Repack,AS&D
GB,BLIS_RP,Repack,BLISTERS
FR,CACO_FR,Cofill,CACOLAC
GB,COTT_GB,Cofill,COTT
GB,DAYL_GB,Cofill,DAYLA
NULL,DIS_NL ,Cofill,MONSTER
GB,EDRI_GB,Cofill,
GE,KART_GE,Cofill,KARTNERFRUCHT
GB,LPSD_RP,Repack,LPSD
IN,MBEV_IN,Cofill,MOON BEVS
GB,MILK_GB,Cofill,REFRESCO MK
GB,NORB_GB,Cofill,NORBEV
GB,P14    ,GB,MILTON KEYNES
GB,PRIN_GB,Cofill,PRINCES
GB,RWAR_RP,Repack,WARRENS
NULL,WILD_GE,Cofill,CAPRI SUN
NULL,WINT_NL,Cofill,
